Date,Min_Close,Max_Close,Today_Open
01-Jan-2008,1259.35,2934.9,2890.0
02-Jan-2008,1259.35,2934.9,2855.0
03-Jan-2008,1259.35,2934.9,2852.0
04-Jan-2008,1259.35,2934.9,2904.0
07-Jan-2008,1259.35,2993.0,2974.8
08-Jan-2008,1259.35,3020.25,3050.5
09-Jan-2008,1259.35,3054.65,3047.65
10-Jan-2008,1259.35,3054.65,3035.0
11-Jan-2008,1259.35,3054.65,3079.5
14-Jan-2008,1259.35,3127.6,3159.0
15-Jan-2008,1259.35,3220.85,3298.0
16-Jan-2008,1259.35,3220.85,3110.0
17-Jan-2008,1259.35,3220.85,3159.0
18-Jan-2008,1259.35,3220.85,2975.0
21-Jan-2008,1259.35,3220.85,2779.8
22-Jan-2008,1259.35,3220.85,2352.25
23-Jan-2008,1259.35,3220.85,2420.0
24-Jan-2008,1259.35,3220.85,2590.0
25-Jan-2008,1259.35,3220.85,2575.0
28-Jan-2008,1259.35,3220.85,2565.0
29-Jan-2008,1259.35,3220.85,2645.0
30-Jan-2008,1259.35,3220.85,2545.2
31-Jan-2008,1259.35,3220.85,2472.0
01-Feb-2008,1259.35,3220.85,2490.0
04-Feb-2008,1259.35,3220.85,2536.0
05-Feb-2008,1259.35,3220.85,2600.0
06-Feb-2008,1259.35,3220.85,2559.9
07-Feb-2008,1259.35,3220.85,2520.0
08-Feb-2008,1259.35,3220.85,2435.1
11-Feb-2008,1259.35,3220.85,2414.0
12-Feb-2008,1259.35,3220.85,2281.0
13-Feb-2008,1259.35,3220.85,2370.0
14-Feb-2008,1259.35,3220.85,2450.0
15-Feb-2008,1259.35,3220.85,2504.9
18-Feb-2008,1259.35,3220.85,2600.0
19-Feb-2008,1259.35,3220.85,2590.0
20-Feb-2008,1259.35,3220.85,2500.2
21-Feb-2008,1259.35,3220.85,2510.0
22-Feb-2008,1259.35,3220.85,2442.3
25-Feb-2008,1259.35,3220.85,2495.0
26-Feb-2008,1259.35,3220.85,2564.9
