Date,MinMax_Feature
02-Jan-2012,0.009805169998726373
03-Jan-2012,0.04915318986374624
04-Jan-2012,0.08773717050808594
05-Jan-2012,0.05615688271997953
06-Jan-2012,0.010441869349293035
07-Jan-2012,0.0637669485837025
09-Jan-2012,0.060106234274531725
10-Jan-2012,0.05325691920603844
11-Jan-2012,0.1256639642158231
12-Jan-2012,0.15250209672910245
13-Jan-2012,0.1371260833100362
16-Jan-2012,0.1034386357282639
17-Jan-2012,0.06443947441990482
18-Jan-2012,0.19303885937936804
19-Jan-2012,0.268521107072966
20-Jan-2012,0.2713167458764326
23-Jan-2012,0.17430807939614174
24-Jan-2012,0.22826390830304716
25-Jan-2012,0.26768241543192617
27-Jan-2012,0.2992731339110985
30-Jan-2012,0.33813251327928406
31-Jan-2012,0.3118535085266982
01-Feb-2012,0.35211070729661703
02-Feb-2012,0.3971204920324292
03-Feb-2012,0.38314229801509625
06-Feb-2012,0.42759295499021505
07-Feb-2012,0.41668996365669536
08-Feb-2012,0.43066815767402833
09-Feb-2012,0.4579256360078276
10-Feb-2012,0.44003354766564146
13-Feb-2012,0.4141738887335755
14-Feb-2012,0.4303885937936816
15-Feb-2012,0.4507967570589879
16-Feb-2012,0.38593793681856287
17-Feb-2012,0.36091696952753677
21-Feb-2012,0.34819681297176386
22-Feb-2012,0.43346379647749494
23-Feb-2012,0.3887335756220295
24-Feb-2012,0.3929270338272293
27-Feb-2012,0.3602180598266701
28-Feb-2012,0.2686608890131392
29-Feb-2012,0.3133911098686047
01-Mar-2012,0.33226167179200417
02-Mar-2012,0.34470226446743063
03-Mar-2012,0.33002516074923105
05-Mar-2012,0.33296058149287083
06-Mar-2012,0.29088621750069876
07-Mar-2012,0.2337154039698068
09-Mar-2012,0.23022085546547358
12-Mar-2012,0.2713167458764326
13-Mar-2012,0.3089180877830584
14-Mar-2012,0.3775510204081631
15-Mar-2012,0.3495946323734972
16-Mar-2012,0.24336035784176668
19-Mar-2012,0.24615599664523327
20-Mar-2012,0.1765445904389152
21-Mar-2012,0.18744758177243484
22-Mar-2012,0.20394185071288767
23-Mar-2012,0.14215823315627593
26-Mar-2012,0.14243779703662265
27-Mar-2012,0.12594352809616982
28-Mar-2012,0.1035784176684371
29-Mar-2012,0.07003075202683799
30-Mar-2012,0.1021805982667038
02-Apr-2012,0.1576740285155157
03-Apr-2012,0.14341627061783602
04-Apr-2012,0.14674372709331815
09-Apr-2012,0.13548108730044564
10-Apr-2012,0.15259600172587365
11-Apr-2012,0.1324608082841938
12-Apr-2012,0.11606500791025436
