date,close_10_sma,close_10_ema,kdjk_10,kdjd_10,macd,rsi_10,wr_10,cci_10,Momentum,ADOsc,New_Feature,OpenPrice,UpDown
13-Jan-2012,723.1999999999999,727.7100029598151,72.18582528619702,70.8589733432905,2.7103203468336687,58.51741841132977,35.99320882852301,78.56852615080908,7.149999999999977,397837.3271399792,0.06685904454490293,742.0,0.0
16-Jan-2012,722.03,724.7609813822473,58.791682052710875,66.83654291309729,1.6177516195673434,46.65408328206545,67.99660441426141,-29.53021409167735,-3.199999999999932,-59130.49479351938,0.07959113587603392,729.95,0.0
17-Jan-2012,724.62,728.1542841172748,66.33084406230523,66.66797662949993,2.4298186628615213,60.41838716430793,18.590831918506026,51.21571765124199,42.549999999999955,-1069952.7724022225,0.08501968046248569,716.0,0.0
18-Jan-2012,732.645,738.1366803310538,74.57672709176514,69.30422678358833,5.191051038425485,71.13811237476996,8.931506849315044,196.85251798561106,62.200000000000045,-733816.086516228,0.08268991085366759,762.0,1.0
19-Jan-2012,739.4549999999999,747.2233351282468,79.3791371342605,72.66253023381239,7.557317726653878,72.4361811562687,11.016042780748736,176.66811091854402,70.89999999999998,-583098.1034163774,0.09637810851960642,789.0,1.0
20-Jan-2012,747.2449999999999,755.829802779822,83.7412255420954,76.35542866990673,9.682386706538637,73.978951510138,7.534597642234778,124.25860462364469,86.39999999999998,-868648.5975096246,0.12218603229197371,790.0,1.0
23-Jan-2012,753.7749999999999,758.7855449165311,78.5053863164531,77.07208121875551,9.87712637087941,62.300271866514244,31.966292134831516,49.60102650467179,35.34999999999991,88971.55207798723,0.1429410120212467,755.3,0.0
24-Jan-2012,758.5299999999999,763.4504703274515,79.58411522220469,77.90942588657191,10.674220045284528,65.77168251449244,18.258426966292134,71.03345761142408,35.5,1226427.7930067335,0.1543611965334077,774.6,1.0
25-Jan-2012,762.7999999999998,768.5633147911594,82.99989703952224,79.60624960422201,11.618832737958996,67.72072667168952,10.168539325842646,76.98245614035139,54.05000000000007,1015101.392827935,0.17186189544310865,788.7,1.0
27-Jan-2012,771.1499999999999,778.1616233932597,86.5280180434568,81.9135057506336,14.12636210997141,74.35689059717532,6.415739948674082,127.33565287826129,88.60000000000002,-107813.79237973737,0.18606374056471892,800.0,1.0
30-Jan-2012,777.4449999999998,781.2229562774838,81.56615517125806,81.79772222417509,14.197451577104403,62.018128908391006,28.357570573139423,79.2623564013492,81.79999999999995,-1520732.4288123497,0.20074084428291852,813.9,1.0
31-Jan-2012,787.8599999999998,787.8259347609173,84.49361193722835,82.69635212852617,15.582476821769205,67.27552494135034,9.65147453083106,110.81266661281315,75.05000000000007,-629908.051312374,0.2208414872798433,804.5,0.0
01-Feb-2012,796.7749999999997,795.7909660497838,88.47797479402365,84.623559683692,17.429822072130037,70.1698593913313,3.553299492385731,137.15188792072513,51.450000000000045,1077830.820755547,0.24168297455968674,818.9,1.0
02-Feb-2012,801.7249999999997,801.924094905185,87.1948403388729,85.48065323541896,18.524829816245983,69.22897360626291,15.371428571428625,120.68678326606556,43.60000000000002,845132.9341404424,0.27045009784735796,835.0,1.0
03-Feb-2012,806.9899999999996,808.5820105891904,89.78703641639142,86.9161142957431,19.78755314401019,71.21902058237396,5.028571428571533,93.01080015302722,45.64999999999998,1739268.2659844342,0.29085826111266405,830.0,0.0
